human,rat
KIF20B,KIF20B
CREB5,CREB5
MAD2L1BP,MAD2L1BP
PRDX6,PRDX6
WTAP,WTAP
AKAP12,AKAP12
IER2,IER2
CYTIP,CYTIP
OR1R1,OR1R1
PITPNM1,PITPNM1
PDIA4,PDIA4
NFE2L3,NFE2L3
RNF14,RNF14
VPS9D1,VPS9D1
CARTPT,CARTPT
RAB36,RAB36
RIN1,RIN1
NCOR1,NCOR1
NCOR2,NCOR2
GDA,GDA
RNF7,RNF7
MTRF1,MTRF1
TRAF4,TRAF4
ABCG1,ABCG1
CELSR1,CELSR1
KLK4,KLK4
LMTK1,AATK
SNCAIP,SNCAIP
RGS6,RGS6
GNA14,GNA14
NUP155,NUP155
SEC24C,SEC24C
TESMIN,TESMIN
CLCA2,CLCA2
ISG15,ISG15
FEZ2,FEZ2
FEZ1,FEZ1
ARHGEF10,ARHGEF10
ZNF592,ZFP592
IKBKE,IKBKE
MORF4L2,MORF4L2
SH3PXD2A,SH3PXD2A
MICAL2,MICAL2
CTR9,CTR9
PPM1F,PPM1F
GCC2,GCC2
RALGPS1,RALGPS1
MTFR1,MTFR1
PLCH2,PLCH2
SKIC3,SKIC3
HS2ST1,HS2ST1
TTLL4,TTLL4
SOCS5,SOCS5
MDC1,MDC1
IQCB1,IQCB1
ZNF516,ZFP516
PDE4DIP,PDE4DIP
CEP135,CEP135
LPIN2,LPIN2
MARF1,MARF1
DZIP3,DZIP3
SAFB2,SAFB2
EIF5B,EIF5B
IPO13,IPO13
WSCD2,WSCD2
SDC3,SDC3
SLC25A44,SLC25A44
KIAA0040,KIAA0040
TTI1,TTI1
PPIP5K1,PPIP5K1
PHF14,PHF14
FAM53B,FAM53B
DEPDC5,DEPDC5
KDM4A,KDM4A
N4BP1,N4BP1
LRRC14,LRRC14
CLINT1,CLINT1
VGLL4,VGLL4
GREB1,GREB1
NUP93,NUP93
BZW1,BZW1
UBE3C,UBE3C
PRORP,PRORP
RAPGEF2,RAPGEF2
EMC2,EMC2
EDEM1,EDEM1
CROCC,CROCC
TRAM2,TRAM2
PUM1,PUM1
RIMS2,RIMS2
ESPL1,ESPL1
PPP6R2,PPP6R2
CEP57,CEP57
BLTP2,BLTP2
DHX34,DHX34
ST18,ST18
ULK2,ULK2
PCDHGA8,PCDHGA8
HERPUD1,HERPUD1
GARRE1,GARRE1
RUBCN,RUBCN
USP6NL,USP6NL
FAM131B,FAM131B
AQR,AQR
SEC14L5,SEC14L5
ECE2,ECE2
ADAMTSL2,ADAMTSL2
GPRIN2,GPRIN2
NOS1AP,NOS1AP
SEMA3E,SEMA3E
TMEM63A,TMEM63A
ZNF646,ZFP646
RAB11FIP3,RAB11FIP3
SECISBP2L,SECISBP2L
KIAA0408,9330159F19RIKL
DCAF1,DCAF1
CEP104,CEP104
DOCK4,DOCK4
SART3,SART3
HDAC9,HDAC9
KNTC1,KNTC1
USP34,USP34
GPRASP1,GPRASP1
CCP110,CCP110
SETD1A,SETD1A
LAPTM4A,LAPTM4A
IFT140,IFT140
ARHGAP32,ARHGAP32
ACAP1,ACAP1
ZNF536,ZFP536
CLSTN3,CLSTN3
TCAF1,TCAF1
SLK,SLK
PHACTR2,PHACTR2
RIPOR2,RIPOR2
SNPH,SNPH
ZSCAN12,ZSCAN12
STARD8,STARD8
TBKBP1,TBKBP1
KMT2B,KMT2B
FRMPD4,FRMPD4
HDAC4,HDAC4
TOX,TOX
MLEC,MLEC
LZTS3,LZTS3
KIAA0513,6430548M08RIKL
ZFYVE16,ZFYVE16
SUSD6,SUSD6
JADE3,JADE3
PCLAF,PCLAF
RASSF2,RASSF2
RAPGEF5,RAPGEF5
TMEM94,TMEM94
BCLAF1,BCLAF1
EIF4A3,EIF4A3
ATG13,ATG13
TM9SF4,TM9SF4
KIAA0232,KIAA0232
TBC1D5,TBC1D5
PIEZO1,PIEZO1
RNF144A,RNF144A
MATR3,MATR3
RIMS3,RIMS3
SNX17,SNX17
DHX38,DHX38
KIAA0586,KIAA0586
DLGAP5,DLGAP5
MTSS1,MTSS1
SPCS2,SPCS2
BMS1,BMS1
PTDSS1,PTDSS1
SERTAD2,SERTAD2
CKAP5,CKAP5
MAML1,MAML1
PHYHIP,PHYHIP
TATDN2,TATDN2
IST1,IST1
MRPL19,MRPL19
DAZAP2,DAZAP2
TOMM20,TOMM20
SCRN1,SCRN1
SPOCK2,SPOCK2
IP6K1,IP6K1
RNF40,RNF40
CTIF,CTIF
DELE1,DELE1
EFCAB14,EFCAB14
SFI1,SFI1
GIT2,GIT2
URB2,URB2
KEAP1,KEAP1
NUP58,NUP58
TSC22D2,TSC22D2
CUL7,CUL7
RB1CC1,RB1CC1
ARMCX2,ARMCX2
ARHGAP11A,ARHGAP11A
SPATA2,SPATA2
ARHGEF11,ARHGEF11
RGP1,RGP1
ARHGEF17,ARHGEF17
DNAJC6,DNAJC6
TRIM14,TRIM14
ZNF623,ZFP623
JAKMIP2,JAKMIP2
MELK,MELK
LCMT2,LCMT2
GINS1,GINS1
ZEB2,ZEB2
ZBTB24,ZBTB24
PLEKHM1,PLEKHM1
HEPH,HEPH
ELMO1,ELMO1
GAB2,GAB2
C2CD5,C2CD5
MFAP3L,MFAP3L
ZNF518A,ZFP518A
KIAA0753,4933427D14RIKL
EPM2AIP1,EPM2AIP1
RUSC2,RUSC2
C2CD2L,C2CD2L
FARP2,FARP2
KIAA0319,KIAA0319
CEP350,CEP350
PPP1R26,PPP1R26
CEP170,CEP170
LRIG2,LRIG2
PSMD6,PSMD6
MED24,MED24
MAGI2,MAGI2
TRIL,TRIL
TRIM66,TRIM66
PJA2,PJA2
TOMM70,TOMM70
SETDB1,SETDB1
AREL1,AREL1
SEC24D,SEC24D
FCHSD2,FCHSD2
TLK1,TLK1
URB1,URB1
ZC3H11A,ZC3H11A
TOX4,TOX4
DDX46,DDX46
ZBTB39,ZBTB39
TRANK1,TRANK1
TBC1D4,TBC1D4
POM121,POM121
OSBPL2,OSBPL2
RHOBTB1,RHOBTB1
SMG7,SMG7
ZBED4,ZBED4
PLPPR4,PLPPR4
NUAK1,NUAK1
SNAP91,SNAP91
TELO2,TELO2
TECPR2,TECPR2
FIG4,FIG4
WASHC5,WASHC5
UBAP2L,UBAP2L
SV2B,SV2B
SV2A,SV2A
SRGAP3,SRGAP3
MRC2,MRC2
KLHL21,KLHL21
RBM19,RBM19
SGSM2,SGSM2
AP5Z1,AP5Z1
G3BP2,G3BP2
DENND4B,DENND4B
RABGAP1L,RABGAP1L
TMCC2,TMCC2
ARHGAP44,ARHGAP44
SUPT7L,SUPT7L
ATP2C2,ATP2C2
ARNT2,ARNT2
FAM20B,FAM20B
NCAPD2,NCAPD2
SEC16A,SEC16A
KBTBD11,KBTBD11
RNF10,RNF10
IQSEC1,IQSEC1
ZBTB40,ZBTB40
PAN2,PAN2
ZBTB5,ZBTB5
LPGAT1,LPGAT1
MFN2,MFN2
KIF14,KIF14
JOSD1,JOSD1
HELZ,HELZ
PUM3,PUM3
P2RY14,P2RY14
MAFB,MAFB
CD302,CD302
DCLRE1A,DCLRE1A
ARHGAP25,ARHGAP25
RBM8A,RBM8A
DLEC1,DLEC1
EXOG,EXOG
XYLB,XYLB
OXSR1,OXSR1
GFPT2,GFPT2
CRYZL1,CRYZL1
WDR1,WDR1
AMMECR1,AMMECR1
GOLGA5,GOLGA5
HS3ST4,HS3ST4
HS3ST3B1,HS3ST3B1
HS3ST3A1,HS3ST3A1
HS3ST2,HS3ST2
HS3ST1,HS3ST1
USP15,USP15
USP3,USP3
MVP,MVP
SLC23A2,SLC23A2
SLC23A1,SLC23A1
FGF19,FGF19
TNFSF15,TNFSF15
THRAP3,THRAP3
MED12,MED12
MED13,MED13
NR1I3,NR1I3
NR1H4,NR1H4
NUP153,NUP153
CCS,CCS
NR1D2,NR1D2
RBX1,RBX1
DOP1B,DOP1B
THOC1,THOC1
REC8,REC8
RCE1,RCE1
HNRNPDL,HNRNPDL
DMTF1,DMTF1
PPP4R1,PPP4R1
SLC12A6,SLC12A6
PTBP3,PTBP3
KCNE2,KCNE2
DGCR2,DGCR2
CASP8AP2,CASP8AP2
SCO2,SCO2
AKT3,AKT3
MED6,MED6
NR2E3,NR2E3
NAALAD2,NAALAD2
NAALADL1,NAALADL1
ACOT8,ACOT8
ABI1,ABI1
GNPDA1,GNPDA1
KCNE3,KCNE3
ZBTB33,ZBTB33
TANK,TANK
SRA1,SRA1
HDAC6,HDAC6
HDAC5,HDAC5
PDCD6IP,PDCD6IP
PDCD6,PDCD6
BCL2L10,BCL2L10
BCL2L11,BCL2L11
SH2B3,SH2B3
GNE,GNE
HCN4,HCN4
INSL5,INSL5
FRAT1,FRAT1
TROAP,TROAP
MED16,MED16
PIGK,PIGK
CHAF1A,CHAF1A
PARP2,PARP2
PARP3,PARP3
TOM1L1,TOM1L1
HMGXB4,HMGXB4
TOM1,TOM1
SH2D3C,SH2D3C
CST8,CST8
RANBP9,RANBP9
DNAJB6,DNAJB6
SLC17A4,SLC17A4
SMC4,SMC4
GJC1,GJC1
AP1M2,AP1M2
UBA2,UBA2
SAE1,SAE1
FARSB,FARSB
ABCC5,ABCC5
ABCB6,ABCB6
DNM1L,DNM1L
ABCC9,ABCC9
ABCF2,ABCF2
NR1H3,NR1H3
COX17,COX17
SCAMP2,SCAMP2
SCAMP3,SCAMP3
IL18BP,IL18BP
RWDD2B,RWDD2B
MUC12,MUC12
DPP3,DPP3
SNUPN,SNUPN
HUWE1,HUWE1
PTPRU,PTPRU
TSPAN32,TSPAN32
TSSC4,TSSC4
ATP9A,ATP9A
PDCD7,PDCD7
GPC6,GPC6
USH1C,USH1C
PQBP1,PQBP1
EDIL3,EDIL3
HHLA1,HHLA1
CERT1,CERT1
KCNK7,KCNK7
UST,UST
ARPC5,ARPC5
ARPC4,ARPC4
ARPC3,ARPC3
ARPC1B,ARPC1B
ACTR3,ACTR3
ACTR2,ACTR2
TSPAN5,TSPAN5
TSPAN3,TSPAN3
TSPAN2,TSPAN2
NUBP2,NUBP2
TSFM,TSFM
TSPAN1,TSPAN1
PPIF,PPIF
CTDSP2,CTDSP2
TRIM10,TRIM10
ARPC2,ARPC2
SGK2,SGK2
RAD50,RAD50
KIF20A,KIF20A
PREB,PREB
HIPK3,HIPK3
FEM1B,FEM1B
ENAM,ENAM
ACTR1B,ACTR1B
ACTR1A,ACTR1A
ARL4C,ARL4C
ARL4A,ARL4A
RASGRP1,RASGRP1
DNAL4,DNAL4
ZNF263,ZFP263
LRPPRC,LRPPRC
FRY,FRY
PDIA6,PDIA6
TRAP1,TRAP1
OPTN,OPTN
BCAP31,BCAP31
NAMPT,NAMPT
RBM12,RBM12
YAF2,YAF2
ARFRP1,ARFRP1
TOB1,TOB1
AKAP9,AKAP9
CLEC3A,CLEC3A
FAM13A,FAM13A
G3BP1,G3BP1
SUGP2,SUGP2
EBI3,EBI3
ADGRG2,ADGRG2
MBNL2,MBNL2
ABI2,ABI2
CEBPZ,CEBPZ
PLXNC1,PLXNC1
TRIM28,TRIM28
RASA4,RASA4
AASS,AASS
PDZK1IP1,PDZK1IP1
ATP6AP2,ATP6AP2
FARP1,FARP1
LPAR6,LPAR6
LPCAT3,LPCAT3
WASF2,WASF2
CHST4,CHST4
SLC25A13,SLC25A13
SLC25A15,SLC25A15
SERF2,SERF2
DHRS9,DHRS9
RCL1,RCL1
SORBS3,SORBS3
CNIH1,CNIH1
TENM1,TENM1
RBM7,RBM7
RBM6,RBM6
RBM5,RBM5
LHFPL2,LHFPL2
LHFPL6,LHFPL6
TNK2,TNK2
ALYREF,ALYREF
TXNDC9,TXNDC9
RNF41,RNF41
TSHZ1,TSHZ1
ALG3,ALG3
PRMT3,PRMT3
PSME3,PSME3
MPHOSPH9,MPHOSPH9
MPHOSPH10,MPHOSPH10
MPHOSPH6,MPHOSPH6
NME6,NME6
DHRS2,DHRS2
CALCRL,CALCRL
NUTF2,NUTF2
MPZL2,MPZL2
TRIM13,TRIM13
PATJ,PATJ
USPL1,USPL1
EIF1,EIF1
TOPORS,TOPORS
FLOT1,FLOT1
DDX39A,DDX39A
PSMD14,PSMD14
OLIG2,OLIG2
PRG4,PRG4
CTDSPL,CTDSPL
ANGPTL7,ANGPTL7
GDF11,GDF11
TRIB1,TRIB1
GPA33,GPA33
CD96,CD96
PLIN3,PLIN3
SLC75A1,SLC75A1
STX6,STX6
COQ7,COQ7
RCAN2,RCAN2
MSLN,MSLN
LRRC23,LRRC23
LRRC17,LRRC17
RASGRP2,RASGRP2
HNRNPR,HNRNPR
SLC35B1,SLC35B1
DCAF7,DCAF7
AP3S2,AP3S2
MRPS31,MRPS31
CALCOCO2,CALCOCO2
KCNMB2,KCNMB2
GPHN,GPHN
RABEPK,RABEPK
TIMM17B,TIMM17B
SLC17A2,SLC17A2
RIDA,RIDA
POP7,POP7
GLYAT,GLYAT
SRRM1,SRRM1
SPRY3,SPRY3
SPRY1,SPRY1
SPRY2,SPRY2
STAM2,STAM2
CNKSR1,CNKSR1
ABCC4,ABCC4
DENND4A,DENND4A
IGSF6,IGSF6
SF3B4,SF3B4
CDK2AP2,CDK2AP2
IRX5,IRX5
RAMP2,RAMP2
RAMP1,RAMP1
RAMP3,RAMP3
ZMPSTE24,ZMPSTE24
AKAP8,AKAP8
FSTL3,FSTL3
STUB1,STUB1
STAG1,STAG1
NET1,NET1
UBE4B,UBE4B
EFS,EFS
PRSS16,PRSS16
SIGMAR1,SIGMAR1
BET1,BET1
CWC27,CWC27
SAP18,SAP18
SMNDC1,SMNDC1
BCAS2,BCAS2
RGS19,RGS19
EIF1B,EIF1B
SPEG,SPEG
SF3A1,SF3A1
TRAIP,TRAIP
DNAJA2,DNAJA2
BCKDK,BCKDK
MAEA,MAEA
APC2,APC2
PAK4,PAK4
MARCHF6,MARCHF6
KATNB1,KATNB1
SNAPC5,SNAPC5
APBB3,APBB3
CCNO,CCNO
VPS26C,VPS26C
TCIRG1,TCIRG1
RTN3,RTN3
LANCL1,LANCL1
NMUR1,NMUR1
B3GALT5,B3GALT5
TNIP1,TNIP1
LAMC3,LAMC3
IKZF1,IKZF1
CRISP3,CRISP3
SMYD5,SMYD5
KLHL41,KLHL41
RRAGB,RRAGB
AKR1A1,AKR1A1
EMC8,EMC8
RXYLT1,RXYLT1
CNPY2,CNPY2
B3GNT3,B3GNT3
CLEC4M,CLEC4M
TLR6,TLR6
IRAG1,IRAG1
PCGF3,PCGF3
TFG,TFG
PKDREJ,PKDREJ
CCL26,CCL26
TRDN,TRDN
ABCA7,ABCA7
ABCA9,ABCA9
ABCA8,ABCA8
WARS2,WARS2
NPM3,NPM3
NPM2,NPM2
HMG20B,HMG20B
HMG20A,HMG20A
KLF2,KLF2
MICU1,MICU1
CACNG3,CACNG3
CACNG2,CACNG2
CITED2,CITED2
SEMA3A,SEMA3A
TUBA1B,TUBA1B
IRF9,IRF9
BPNT1,BPNT1
TUBB3,TUBB3
TUBB4A,TUBB4A
TUBB4B,TUBB4B
BTN2A2,BTN2A2
SYCP2,SYCP2
CEPT1,CEPT1
CORO2B,CORO2B
NOD1,NOD1
ANAPC10,ANAPC10
PRG3,PRG3
DLC1,DLC1
ATP8A1,ATP8A1
NDRG1,NDRG1
MYL9,MYL9
RACK1,RACK1
PEMT,PEMT
PIAS3,PIAS3
ST3GAL6,ST3GAL6
NDC80,NDC80
CPQ,CPQ
WFDC2,WFDC2
SPAG11B,SPAG11B
BASP1,BASP1
IFITM3,IFITM3
RAPGEF3,RAPGEF3
NSA2,NSA2
YAP1,YAP1
SPON2,SPON2
SPON1,SPON1
PRMT5,PRMT5
TESK2,TESK2
CD2BP2,CD2BP2
UBAC1,UBAC1
CDIPT,CDIPT
PGRMC2,PGRMC2
ARIH2,ARIH2
TUBGCP3,TUBGCP3
SEC24B,SEC24B
CFDP1,CFDP1
TMEM147,TMEM147
LYPLA1,LYPLA1
CDC42EP2,CDC42EP2
EMG1,EMG1
IFI30,IFI30
C1D,C1D
OLFM1,OLFM1
TIMM17A,TIMM17A
N4BP2L2,N4BP2L2
ZER1,ZER1
MCRS1,MCRS1
LRRN2,LRRN2
FAM3C,FAM3C
ACAA2,ACAA2
PPIE,PPIE
VAV3,VAV3
TOMM40,TOMM40
TAB1,TAB1
ECI2,ECI2
HAX1,HAX1
GPNMB,GPNMB
BAIAP2,BAIAP2
MAD2L2,MAD2L2
TACC3,TACC3
MERTK,MERTK
CLEC10A,CLEC10A
SLC30A9,SLC30A9
PIBF1,PIBF1
PPIH,PPIH
COG5,COG5
ZNHIT1,ZNHIT1
FST,FST
TIMM44,TIMM44
PFDN6,PFDN6
ZBTB18,ZBTB18
TADA3,TADA3
TRIM38,TRIM38
ATP5PD,ATP5PD
UBE2E3,UBE2E3
SLC25A17,SLC25A17
SLC9A6,SLC9A6
EIF3M,EIF3M
HOXB13,HOXB13
NXF1,NXF1
SEC23B,SEC23B
SEC23A,SEC23A
CAP2,CAP2
CAP1,CAP1
CREB3,CREB3
LRRC41,LRRC41
VTI1B,VTI1B
CRTAP,CRTAP
SYNCRIP,SYNCRIP
VAT1,VAT1
STK25,STK25
ENOX2,ENOX2
UNC13B,UNC13B
CARM1,CARM1
NCOA2,NCOA2
SEMA6C,SEMA6C
SEMA6B,SEMA6B
SEMA4F,SEMA4F
SEMA4D,SEMA4D
SEMA4B,SEMA4B
SEMA3C,SEMA3C
APPBP2,APPBP2
MYBBP1A,MYBBP1A
FBLN5,FBLN5
FBXW10,FBXW10
CIB2,CIB2
CIB1,CIB1
DDX17,DDX17
DEAF1,DEAF1
CHERP,CHERP
KAT5,KAT5
HYOU1,HYOU1
IPO8,IPO8
IPO7,IPO7
NOP56,NOP56
NEBL,NEBL
PITRM1,PITRM1
ATG7,ATG7
ZNRD2,ZNRD2
RNASEH2A,RNASEH2A
P3H3,P3H3
UBD,UBD
BATF,BATF
GLRX3,GLRX3
DCTN2,DCTN2
ANP32B,ANP32B
LAMTOR5,LAMTOR5
PROCR,PROCR
TM9SF1,TM9SF1
PRDX4,PRDX4
ARL6IP5,ARL6IP5
AGR2,AGR2
ARPC1A,ARPC1A
HTATIP2,HTATIP2
AGPAT1,AGPAT1
AGPAT2,AGPAT2
RPP30,RPP30
RPP38,RPP38
SPTLC1,SPTLC1
SLC35A1,SLC35A1
SLC19A2,SLC19A2
IFI44,IFI44
OLFM4,OLFM4
CXCL13,CXCL13
ARFGEF2,ARFGEF2
ARFGEF1,ARFGEF1
AKAP3,AKAP3
RABAC1,RABAC1
SLC34A2,SLC34A2
SLU7,SLU7
DPYSL4,DPYSL4
SIVA1,SIVA1
MRPL28,MRPL28
CCT7,CCT7
CCT4,CCT4
CCT2,CCT2
NPC2,NPC2
TACC2,TACC2
SORBS1,SORBS1
IFITM2,IFITM2
COLEC10,COLEC10
POMT1,POMT1
MAB21L2,MAB21L2
TXNRD2,TXNRD2
MTHFS,MTHFS
DRAP1,DRAP1
SCGN,SCGN
DNPH1,DNPH1
SMC2,SMC2
PRPF8,PRPF8
ERN2,ERN2
AHSA1,AHSA1
USP16,USP16
CDC42EP3,CDC42EP3
SH2B2,SH2B2
PAIP1,PAIP1
PAICS,PAICS
TBL3,TBL3
MXD4,MXD4
P3H4,P3H4
ST6GALNAC2,ST6GALNAC2
PDLIM5,PDLIM5
TRIM3,TRIM3
ERLIN1,ERLIN1
HEXIM1,HEXIM1
SPAG5,SPAG5
RBCK1,RBCK1
STAMBP,STAMBP
TGOLN2,TGOLN2
ARID3B,ARID3B
POLR3F,POLR3F
POLR3G,POLR3G
POLR3C,POLR3C
IVNS1ABP,IVNS1ABP
TRIM16,TRIM16
TXNIP,TXNIP
TAF6L,TAF6L
PDPN,PDPN
POSTN,POSTN
ATP5MG,ATP5MG
RASL10A,RASL10A
GAS2L1,GAS2L1
RAD51AP1,RAD51AP1
RGS14,RGS14
LEFTY1,LEFTY1
EXOC5,EXOC5
NPRL2,NPRL2
IGF2BP1,IGF2BP1
IGF2BP3,IGF2BP3
IGF2BP2,IGF2BP2
CAMKK2,CAMKK2
PRELID3A,PRELID3A
MTX2,MTX2
YKT6,YKT6
SPINT2,SPINT2
PMVK,PMVK
DMRT2,DMRT2
KHDRBS3,KHDRBS3
KHDRBS1,KHDRBS1
CELF1,CELF1
CELF2,CELF2
LBX1,LBX1
KLF1,KLF1
CXCR6,CXCR6
CTCF,CTCF
TSBP1,TSBP1
CD226,CD226
FARS2,FARS2
CGRRF1,CGRRF1
CGREF1,CGREF1
RRAGA,RRAGA
DCTN6,DCTN6
GNA13,GNA13
TNFSF13B,TNFSF13B
CSPG5,CSPG5
AVIL,AVIL
B3GNT2,B3GNT2
GNB5,GNB5
EBP,EBP
DLL3,DLL3
CLDN16,CLDN16
PNMA2,PNMA2
FUT9,FUT9
GMEB1,GMEB1
RRH,RRH
CCT6B,CCT6B
CCT8,CCT8
CNPY3,CNPY3
CORIN,CORIN
ENTREP3,ENTREP3
USP39,USP39
POLD3,POLD3
CERS1,CERS1
TBR1,TBR1
AP4B1,AP4B1
NRG3,NRG3
POLQ,POLQ
SLC12A7,SLC12A7
OGA,OGA
NFAT5,NFAT5
NUDC,NUDC
PTGES3,PTGES3
YME1L1,YME1L1
TCFL5,TCFL5
PLK4,PLK4
STAG3,STAG3
STAG2,STAG2
SIX2,SIX2
RBBP9,RBBP9
RAI2,RAI2
RAI1,RAI1
PHTF1,PHTF1
MAP3K2,MAP3K2
MASP2,MASP2
KIF1C,KIF1C
GRAP,GRAP
CHL1,CHL1
CAPN9,CAPN9
GIPC1,GIPC1
TRAF3IP2,TRAF3IP2
PLAC1,PLAC1
NUP50,NUP50
NES,NES
KDM5B,KDM5B
TOB2,TOB2
HBS1L,HBS1L
AHCYL1,AHCYL1
PLK2,PLK2
ZMYND11,ZMYND11
SRSF10,SRSF10
ZBTB6,ZBTB6
POP4,POP4
ARPP19,ARPP19
ARPP21,ARPP21
ZNF274,ZFP110
NEK6,NEK6
WDR4,WDR4
SLC17A3,SLC17A3
NCKAP1,NCKAP1
IQGAP2,IQGAP2
VAMP5,VAMP5
MTHFD2,MTHFD2
OR5I1,OR5I1
RPP40,RPP40
CYSLTR1,CYSLTR1
SEPTIN9,SEPTIN9
SEC24A,SEC24A
CCR9,CCR9
GJB6,GJB6
SDCCAG8,SDCCAG8
ENTR1,ENTR1
HSPH1,HSPH1
STARD10,STARD10
WASF3,WASF3
NOXA1,NOXA1
UTP14A,UTP14A
CPLX2,CPLX2
CPLX1,CPLX1
SPINT3,SPINT3
FRS3,FRS3
FRS2,FRS2
NEU3,NEU3
FAXDC2,FAXDC2
FAM114A2,FAM114A2
ZNF275,ZFP275
ALDH1L1,ALDH1L1
FTCD,FTCD
PPP1R17,PPP1R17
TUBGCP2,TUBGCP2
CLPX,CLPX
PDE10A,PDE10A
SRCAP,SRCAP
PPP1R13L,PPP1R13L
POLR1G,POLR1G
CCL27,CCL27
HPSE,HPSE
RUVBL2,RUVBL2
PGRMC1,PGRMC1
CYP46A1,CYP46A1
SLC26A1,SLC26A1
SLC22A7,SLC22A7
ARID5A,ARID5A
TSPAN9,TSPAN9
USP20,USP20
USP19,USP19
HCST,HCST
ME3,ME3
NMU,NMU
FGL2,FGL2
ACTL7B,ACTL7B
ACTL7A,ACTL7A
C1QL1,C1QL1
MRPS30,MRPS30
WDR3,WDR3
NPFFR2,NPFFR2
PROKR1,PROKR1
GPR83,GPR83
RAB10,RAB10
PPARGC1A,PPARGC1A
MALT1,MALT1
MMP24,MMP24
LYVE1,LYVE1
YIF1A,YIF1A
CPSF4,CPSF4
JTB,JTB
RUNDC3A,RUNDC3A
DHRS4,DHRS4
BRD8,BRD8
MTMR11,MTMR11
BLCAP,BLCAP
MAN1A2,MAN1A2
TRAFD1,TRAFD1
TXNL4A,TXNL4A
PNPLA6,PNPLA6
SUGT1,SUGT1
UTS2,UTS2
GADD45G,GADD45G
EDAR,EDAR
PAPOLA,PAPOLA
TCERG1,TCERG1
MAGED2,MAGED2
EHMT2,EHMT2
COPS8,COPS8
RNPS1,RNPS1
FASTK,FASTK
SUB1,SUB1
SMPDL3A,SMPDL3A
DBF4,DBF4
SPIN1,SPIN1
RALBP1,RALBP1
APOBEC2,APOBEC2
MORF4L1,MORF4L1
PRDX3,PRDX3
GPR75,GPR75
EHD1,EHD1
AFG3L2,AFG3L2
POP1,POP1
UGT2A1,UGT2A1
MSL3,MSL3
C11ORF58,C1H11ORF58
KDELR1,KDELR1
SF3A3,SF3A3
AP3M2,AP3M2
STARD3,STARD3
HNRNPA0,HNRNPA0
BTG3,BTG3
CBX1,CBX1
SEC61B,SEC61B
TOMM34,TOMM34
PDIA5,PDIA5
SERINC3,SERINC3
OS9,OS9
PNRC1,PNRC1
TMED2,TMED2
LMAN2,LMAN2
ERP29,ERP29
MLLT11,MLLT11
STIP1,STIP1
IFI44L,IFI44L
RAB40B,RAB40B
EBNA1BP2,EBNA1BP2
CKAP4,CKAP4
YWHAQ,YWHAQ
TMED10,TMED10
ASCC3,ASCC3
UQCR11,UQCR11
CLP1,CLP1
FERMT2,FERMT2
COPS6,COPS6
RAB32,RAB32
MAPRE2,MAPRE2
CCNI,CCNI
GCN1,GCN1
COPS5,COPS5
METAP2,METAP2
IMMT,IMMT
SLC38A3,SLC38A3
SF3B2,SF3B2
SDS,SDS
HACL2,HACL2
SLC27A5,SLC27A5
SLC27A4,SLC27A4
SLC27A3,SLC27A3
SLC27A2,SLC27A2
KIF2C,KIF2C
SPINK5,SPINK5
CCDC85B,CCDC85B
IL24,IL24
GLIPR1,GLIPR1
TLK2,TLK2
KLK11,KLK11
TMSB15A,TMSB15A
KDELR2,KDELR2
KDELR3,KDELR3
ATF7,ATF7
SNRNP27,SNRNP27
TMED1,TMED1
LIAS,LIAS
IFT27,IFT27
RAB35,RAB35
TDRKH,TDRKH
VAX1,VAX1
RBPMS,RBPMS
RAB31,RAB31
ADAP1,ADAP1
DSTN,DSTN
RIPK3,RIPK3
GTF2A1L,GTF2A1L
STON1,STON1
PIM2,PIM2
B4GAT1,B4GAT1
MID2,MID2
TENT4A,TENT4A
UPK1A,UPK1A
SLC35D2,SLC35D2
ADRM1,ADRM1
NUDT21,NUDT21
CPSF6,CPSF6
OGFR,OGFR
ZPBP,ZPBP
DDX52,DDX52
ABHD2,ABHD2
WWP1,WWP1
WWP2,WWP2
CNMD,CNMD
DUS4L,DUS4L
SOX30,SOX30
CNTRL,CNTRL
UBE2C,UBE2C
SNRNP35,SNRNP35
DEPP1,DEPP1
CYB561D2,CYB561D2
RAPGEF4,RAPGEF4
TMEM115,TMEM115
DUSP14,DUSP14
TOPBP1,TOPBP1
TRIM31,TRIM31
STMN2,STMN2
TPPP,TPPP
HSF2BP,HSF2BP
TRIOBP,TRIOBP
RER1,RER1
DNAJB4,DNAJB4
KERA,KERA
ESM1,ESM1
DIDO1,DIDO1
ADAM30,ADAM30
ADAM29,ADAM29
WDR5,WDR5
SPACA9,SPACA9
ADAMTS13,ADAMTS13
CACFD1,CACFD1
ADAMTS8,ADAMTS8
ADAMTS5,ADAMTS5
NUP42,NUP42
PRSS23,PRSS23
PTPN21,PTPN21
HNRNPUL1,HNRNPUL1
ATE1,ATE1
RPP14,RPP14
KRR1,KRR1
KATNA1,KATNA1
PRDM5,PRDM5
PRDM4,PRDM4
HIBADH,HIBADH
CIT,CIT
CEP43,CEP43
EMILIN1,EMILIN1
PTPRT,PTPRT
RCAN3,RCAN3
FAF1,FAF1
CD160,CD160
KIF3A,KIF3A
POLR3A,POLR3A
CLASRP,CLASRP
ZWINT,ZWINT
CAPN11,CAPN11
CAPN10,CAPN10
KPTN,KPTN
CDC42EP1,CDC42EP1
SLC7A9,SLC7A9
PWP1,PWP1
TBC1D8,TBC1D8
CDC37,CDC37
